Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000005339	CREBBP	20.0	15.0	56.0	26.0	19.0	15.0	47.0	22.0	40.0	29.0	8.0	15.0	9.0	30.0	32.0	59.0	7.0	29.0	26.0	15.0	14.0	10.0	17.0	32.0	42.0	20.0	51.0	41.0	18.0	25.0	31.0	30.0
ENSG00000008838	MED24	18.0	25.0	43.0	52.0	24.0	35.0	53.0	27.0	58.0	31.0	18.0	18.0	7.0	37.0	44.0	41.0	6.0	44.0	36.0	25.0	22.0	21.0	33.0	39.0	42.0	32.0	71.0	38.0	30.0	29.0	40.0	38.0
ENSG00000042429	MED17	1.0	1.0	3.0	1.0	1.0	1.0	3.0	0.8	2.0	2.0	0.6	0.8		1.0	2.0	3.0		2.0	2.0	1.0	0.8		1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	2.0	2.0
ENSG00000054118	THRAP3	100.0	105.0	87.0	105.0	92.0	77.0	176.0	109.0	168.0	118.0	60.0	70.0	63.0	131.0	199.0	165.0	19.0	137.0	173.0	109.0	58.0	62.0	88.0	151.0	169.0	98.0	141.0	200.0	169.0	118.0	164.0	108.0
ENSG00000063322	MED29	40.0	60.0	31.0	98.0	36.0	34.0	71.0	38.0	113.0	68.0	19.0	48.0	23.0	65.0	59.0	118.0	13.0	60.0	70.0	31.0	28.0	9.0	35.0	63.0	64.0	38.0	42.0	130.0	42.0	53.0	50.0	40.0
ENSG00000072310	SREBF1	30.0	125.0	29.0	34.0	17.0	52.0	25.0	23.0	38.0	31.0	7.0	11.0	15.0	40.0	24.0	32.0	4.0	30.0	70.0	14.0	100.0	7.0	38.0	15.0	22.0	23.0	51.0	19.0	9.0	18.0	28.0	20.0
ENSG00000075292	ZNF638	24.0	33.0	18.0	49.0	29.0	19.0	77.0	29.0	51.0	42.0	13.0	27.0	26.0	37.0	46.0	70.0	6.0	37.0	42.0	28.0	16.0	9.0	26.0	41.0	42.0	29.0	60.0	64.0	30.0	35.0	39.0	41.0
ENSG00000082014	SMARCD3	18.0	32.0	10.0	60.0	7.0	6.0	34.0	12.0	36.0	29.0	28.0	7.0	1.0	22.0	10.0	45.0	3.0	16.0	31.0	8.0	7.0	38.0	7.0	27.0	15.0	8.0	31.0	24.0	4.0	21.0	12.0	15.0
ENSG00000084676	NCOA1	33.0	38.0	32.0	87.0	30.0	43.0	67.0	52.0	51.0	48.0	17.0	33.0	17.0	48.0	46.0	81.0	8.0	41.0	39.0	36.0	20.0	14.0	41.0	59.0	48.0	24.0	67.0	44.0	36.0	40.0	46.0	41.0
ENSG00000099917	MED15	18.0	25.0	44.0	20.0	13.0	25.0	26.0	16.0	31.0	27.0	8.0	9.0	3.0	36.0	40.0	25.0	4.0	42.0	23.0	11.0	10.0	4.0	24.0	24.0	49.0	20.0	30.0	20.0	13.0	22.0	34.0	23.0
ENSG00000100393	EP300	25.0	26.0	121.0	32.0	27.0	23.0	60.0	28.0	57.0	46.0	11.0	24.0	14.0	46.0	49.0	69.0	8.0	54.0	38.0	31.0	15.0	9.0	26.0	46.0	46.0	28.0	68.0	65.0	32.0	39.0	43.0	34.0
ENSG00000101849	TBL1X	13.0	16.0	8.0	15.0	10.0	4.0	117.0	20.0	45.0	20.0	6.0	24.0	10.0	12.0	19.0	39.0	3.0	53.0	48.0	9.0	7.0	2.0	7.0	82.0	17.0	8.0	24.0	30.0	17.0	24.0	20.0	12.0
ENSG00000102554	KLF5	6.0	18.0	98.0	5.0	420.0	253.0	19.0	478.0	118.0	212.0	2.0	15.0	4.0	88.0	4.0	12.0	5.0	65.0	58.0	326.0	56.0	6.0	309.0	7.0	3.0	189.0	44.0	90.0	143.0	215.0	31.0	564.0
