Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000088305	DNMT3B	2.0	1.0	6.0	1.0	2.0	2.0	4.0	1.0	3.0	3.0	0.8	3.0	0.7	2.0	3.0	2.0	2.0	8.0	2.0	2.0	2.0		2.0	3.0	2.0	2.0	20.0	6.0	2.0	4.0	3.0	10.0
ENSG00000105968	H2AZ2	67.0	83.0	212.0	163.0	91.0	59.0	148.0	66.0	104.0	82.0	65.0	85.0	54.0	107.0	111.0	97.0	11.0	67.0	106.0	80.0	36.0	38.0	71.0	112.0	89.0	69.0	65.0	149.0	99.0	68.0	90.0	72.0
ENSG00000119772	DNMT3A	5.0	10.0	8.0	14.0	8.0	7.0	17.0	7.0	13.0	13.0	4.0	7.0	2.0	13.0	15.0	20.0	2.0	25.0	11.0	8.0	5.0	10.0	8.0	12.0	20.0	7.0	13.0	11.0	10.0	10.0	14.0	10.0
ENSG00000124635	H2BC11	1.0	2.0	5.0	1.0	2.0	1.0	3.0	3.0	6.0	1.0	1.0		0.6	3.0	3.0	1.0		4.0	13.0	3.0	0.7	1.0	2.0	1.0	4.0	3.0	42.0	2.0	4.0	6.0	4.0	0.9
ENSG00000130816	DNMT1	13.0	12.0	89.0	19.0	18.0	16.0	23.0	17.0	21.0	22.0	5.0	7.0	5.0	29.0	89.0	15.0	2.0	102.0	16.0	18.0	7.0	3.0	18.0	25.0	41.0	17.0	58.0	18.0	58.0	21.0	62.0	23.0
ENSG00000132475	H3-3B	237.0	186.0	1347.0	204.0	218.0	139.0	579.0	269.0	562.0	294.0	56.0	121.0	86.0	416.0	260.0	988.0	49.0	322.0	264.0	224.0	158.0	32.0	194.0	360.0	338.0	160.0	375.0	347.0	193.0	245.0	337.0	312.0
ENSG00000146047	H2BC1																											12.0					
ENSG00000158373	H2BC5	7.0	23.0	20.0	6.0	50.0	18.0	17.0	8.0	43.0	24.0	10.0	46.0	43.0	10.0	16.0	25.0	2.0	30.0	166.0	27.0	8.0	7.0	25.0	6.0	14.0	48.0	16.0	18.0	8.0	19.0	13.0	11.0
ENSG00000158406	H4C8	4.0	4.0	4.0	4.0	6.0	6.0	6.0	7.0	6.0	7.0	3.0	3.0		6.0	6.0	7.0		4.0	21.0	7.0	2.0	4.0	7.0	5.0	8.0	4.0	6.0	8.0	5.0	6.0	8.0	2.0
ENSG00000163041	H3-3A	49.0	63.0	292.0	35.0	83.0	96.0	85.0	70.0	111.0	91.0	29.0	34.0	19.0	93.0	129.0	88.0	14.0	96.0	92.0	84.0	43.0	14.0	101.0	78.0	120.0	83.0	55.0	84.0	102.0	87.0	155.0	79.0
ENSG00000164032	H2AZ1	66.0	82.0	423.0	111.0	133.0	113.0	173.0	147.0	116.0	140.0	33.0	62.0	46.0	128.0	418.0	147.0	16.0	184.0	139.0	155.0	48.0	19.0	122.0	220.0	129.0	99.0	175.0	110.0	322.0	140.0	215.0	120.0
ENSG00000180573	H2AC6	30.0	59.0	59.0	31.0	77.0	63.0	40.0	57.0	98.0	62.0	18.0	42.0	71.0	53.0	40.0	33.0	7.0	71.0	301.0	58.0	18.0	15.0	88.0	22.0	64.0	68.0	34.0	81.0	24.0	73.0	47.0	31.0
ENSG00000180596	H2BC4	4.0	6.0	23.0	5.0	4.0	4.0	4.0	14.0	12.0	5.0	2.0	7.0	12.0	6.0	5.0	5.0	1.0	15.0	43.0	3.0	3.0	3.0	5.0	2.0	7.0	15.0	16.0	6.0	4.0	9.0	15.0	3.0
ENSG00000183598	H3C13				0.8																							0.6				0.9	
ENSG00000184260	H2AC20	0.8	1.0	32.0													0.5		1.0	1.0		0.7		2.0	0.7	3.0	2.0	0.9					
ENSG00000184678	H2BC21	12.0	40.0	46.0	39.0	14.0	13.0	33.0	25.0	29.0	16.0	63.0	13.0	12.0	29.0	19.0	24.0	3.0	60.0	287.0	17.0	19.0	33.0	13.0	17.0	28.0	33.0	32.0	40.0	8.0	27.0	28.0	26.0
ENSG00000185130	H2BC13		0.7	10.0		1.0										0.7	0.6				0.5							1.0	1.0	0.9			
ENSG00000188486	H2AX	10.0	18.0	51.0	28.0	22.0	30.0	16.0	12.0	18.0	13.0	3.0	7.0	2.0	11.0	53.0	21.0	4.0	46.0	25.0	11.0	7.0	4.0	28.0	11.0	33.0	19.0	27.0	6.0	41.0	12.0	45.0	10.0
ENSG00000196890	H2BU1		2.0		2.0				0.6	3.0					0.8					2.0				0.6		1.0	0.6			0.8			2.0
ENSG00000197061	H4C3			3.0		0.6				1.0						2.0	1.0		0.9		1.0	1.0				3.0		0.5	1.0	3.0	0.5	2.0	
ENSG00000197153	H3C12			0.6															0.5														
ENSG00000197238	H4C11																											0.7					
ENSG00000197837	H4-16	0.6	6.0	1.0	3.0	3.0	3.0	3.0	2.0	5.0	3.0	0.9	2.0	0.5	3.0	6.0	5.0	1.0	4.0	19.0	4.0	3.0		4.0	2.0	9.0	8.0	9.0	7.0	3.0	2.0	5.0	4.0
ENSG00000197903	H2BC12	25.0	47.0	43.0	21.0	71.0	53.0	52.0	59.0	104.0	35.0	10.0	13.0	40.0	79.0	77.0	49.0	12.0	114.0	160.0	27.0	32.0	2.0	64.0	26.0	110.0	106.0	101.0	70.0	22.0	62.0	92.0	15.0
ENSG00000233822	H2BC15		2.0	0.8	0.8	0.6		1.0		2.0		0.5	0.6		0.6	0.6	1.0		0.8	2.0	0.9			0.7		0.9	0.6	3.0	2.0	0.5		0.5	
ENSG00000246705	H2AJ	53.0	47.0	19.0	6.0	35.0	22.0	33.0	17.0	35.0	23.0	8.0	19.0	10.0	42.0	23.0	19.0	12.0	64.0	148.0	20.0	40.0	8.0	23.0	23.0	41.0	29.0	157.0	18.0	9.0	17.0	21.0	27.0
ENSG00000273542	H4C12			2.0																	1.0			1.0		0.9	0.7						
ENSG00000273703	H2BC14			3.0												1.0				1.0										2.0			
ENSG00000273802	H2BC8		3.0	7.0	1.0	5.0	2.0	4.0	7.0	3.0	2.0	0.8	1.0		0.5	4.0	1.0		5.0	30.0	6.0	3.0		4.0	0.8	4.0	7.0	2.0	2.0	4.0	5.0	4.0	3.0
ENSG00000273983	H3C8			0.6		1.0	0.9			0.7						1.0					0.8			1.0					0.8	0.6			
ENSG00000274290	H2BC6		0.6	0.9			0.8			1.0						1.0	0.6			4.0	0.5	0.5				0.5	0.8	0.9	0.7	0.7	1.0		0.5
ENSG00000274618	H4C6			1.0																													
ENSG00000274641	H2BC17			3.0			1.0												2.0	0.5	0.6						0.6	0.9		1.0			
ENSG00000274750	H3C6	0.5	12.0		2.0	6.0	11.0	3.0	4.0	6.0	3.0	8.0	1.0	0.6	1.0	4.0	2.0		3.0	11.0	5.0	2.0	3.0	11.0	1.0	4.0	5.0	5.0	11.0	4.0	5.0	4.0	4.0
ENSG00000275379	H3C11			2.0																												2.0	
ENSG00000275713	H2BC9			3.0		3.0	7.0		1.0	1.0	0.9					2.0			1.0	2.0	2.0			3.0		1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0
ENSG00000275714	H3C1			10.0					0.7											1.0	0.6							5.0					
ENSG00000276043	UHRF1	0.6	0.7	16.0	2.0	3.0	3.0		3.0	0.9	0.8			0.6	1.0	20.0			3.0	0.7	2.0			4.0	1.0	5.0	4.0	10.0	0.5	10.0	3.0	12.0	3.0
ENSG00000276180	H4C9	8.0	10.0	7.0	4.0	14.0	9.0	14.0	7.0	21.0	6.0	2.0	2.0	18.0	15.0	11.0	10.0	2.0	18.0	30.0	13.0	5.0	0.6	14.0	10.0	17.0	17.0	18.0	18.0	11.0	7.0	17.0	4.0
ENSG00000276368	H2AC14			4.0																													
ENSG00000276410	H2BC3			3.0																								4.0					
ENSG00000276966	H4C5		0.6	4.0	3.0	0.6	2.0	2.0	1.0	2.0	0.7	0.7				2.0	0.7		3.0	6.0	1.0	1.0		0.6	0.9	1.0	1.0	4.0	2.0	1.0	0.9	2.0	
ENSG00000277075	H2AC8		3.0	16.0	2.0	5.0	6.0	5.0	3.0	5.0	3.0	0.5	2.0	1.0		6.0	1.0		6.0	38.0	3.0	3.0		8.0		4.0	5.0	5.0	3.0	1.0	5.0	5.0	4.0
ENSG00000277157	H4C4																			1.0						0.5		0.5	1.0				
ENSG00000277224	H2BC7		0.7	1.0		0.6		0.5	8.0	0.9	0.7					1.0			1.0	6.0	0.8			0.6		0.7	1.0	1.0		0.8	1.0	0.8	
ENSG00000277775	H3C7			3.0			0.5		0.7																								
ENSG00000278463	H2AC4			2.0																								1.0					
ENSG00000278588	H2BC10			3.0																								1.0		0.8			
ENSG00000278637	H4C1			2.0	2.0		1.0		1.0						1.0				0.5							0.5			0.9	3.0		4.0	
ENSG00000278705	H4C2			0.9															0.7								0.6	0.5					
ENSG00000278828	H3C10	0.5	3.0	8.0		6.0	3.0	1.0	1.0	1.0	2.0		0.7	2.0	2.0	2.0	3.0		4.0	5.0	7.0			3.0	0.7	5.0	4.0	4.0	3.0	2.0	2.0	2.0	0.6
