Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000005961	ITGA2B	1.0		16.0	2.0			2.0		4.0	3.0				4.0		3.0		2.0	1.0					0.9	4.0		6.0	6.0		0.6	0.6	0.6
ENSG00000008018	PSMB1	137.0	165.0	151.0	111.0	132.0	130.0	210.0	136.0	218.0	171.0	80.0	99.0	91.0	158.0	216.0	164.0	24.0	239.0	167.0	158.0	69.0	55.0	140.0	204.0	165.0	112.0	128.0	201.0	214.0	146.0	192.0	138.0
ENSG00000010017	RANBP9	52.0	59.0	121.0	108.0	46.0	36.0	90.0	226.0	71.0	97.0	27.0	40.0	37.0	61.0	63.0	68.0	10.0	78.0	73.0	51.0	21.0	30.0	41.0	84.0	51.0	42.0	400.0	79.0	88.0	77.0	72.0	86.0
ENSG00000010810	FYN	42.0	12.0	17.0	113.0	16.0	15.0	62.0	17.0	76.0	54.0	16.0	13.0	12.0	60.0	131.0	38.0	2.0	35.0	9.0	17.0	3.0	2.0	24.0	52.0	88.0	22.0	23.0	71.0	60.0	42.0	72.0	22.0
ENSG00000011485	PPP5C	16.0	21.0	13.0	33.0	19.0	14.0	29.0	19.0	38.0	23.0	20.0	17.0	9.0	24.0	25.0	24.0	4.0	22.0	23.0	18.0	11.0	9.0	14.0	32.0	29.0	15.0	20.0	31.0	16.0	19.0	23.0	20.0
ENSG00000013275	PSMC4	63.0	85.0	83.0	98.0	82.0	77.0	101.0	94.0	119.0	109.0	49.0	75.0	43.0	81.0	102.0	79.0	14.0	121.0	91.0	77.0	33.0	34.0	71.0	117.0	94.0	63.0	101.0	165.0	105.0	110.0	114.0	86.0
ENSG00000019991	HGF	5.0	35.0	5.0	5.0	3.0	3.0	17.0	3.0	7.0	25.0	2.0	12.0	24.0	22.0	3.0	2.0	0.5	559.0	7.0	4.0	2.0		3.0	8.0	8.0	3.0	4.0	4.0	2.0	16.0	10.0	1.0
ENSG00000033122	LRRC7			0.8	15.0	0.6		0.5	0.5		2.0	0.5	0.6							0.6	1.0			0.7	0.8			4.0	5.0			0.5	0.6
ENSG00000033327	GAB2	32.0	23.0	58.0	68.0	21.0	30.0	71.0	19.0	55.0	35.0	17.0	10.0	3.0	53.0	21.0	67.0	3.0	54.0	16.0	30.0	5.0	3.0	26.0	77.0	40.0	19.0	21.0	14.0	12.0	25.0	37.0	19.0
ENSG00000035403	VCL	106.0	33.0	53.0	22.0	76.0	51.0	321.0	205.0	157.0	155.0	112.0	40.0	14.0	119.0	39.0	110.0	15.0	160.0	215.0	95.0	27.0	35.0	57.0	447.0	86.0	48.0	102.0	102.0	38.0	168.0	96.0	51.0
ENSG00000036257	CUL3	17.0	22.0	24.0	33.0	26.0	19.0	40.0	38.0	30.0	36.0	11.0	24.0	13.0	25.0	40.0	31.0	5.0	29.0	27.0	23.0	13.0	16.0	21.0	30.0	26.0	20.0	174.0	48.0	48.0	31.0	31.0	34.0
ENSG00000041357	PSMA4	34.0	42.0	49.0	38.0	56.0	48.0	61.0	40.0	45.0	54.0	18.0	35.0	32.0	40.0	73.0	32.0	4.0	53.0	61.0	45.0	14.0	17.0	51.0	59.0	48.0	36.0	58.0	49.0	63.0	57.0	77.0	37.0
ENSG00000049130	KITLG	27.0	14.0		33.0	50.0	24.0	68.0	38.0	17.0	74.0	8.0	39.0	4.0	127.0	13.0	23.0	2.0	54.0	44.0	50.0	13.0	2.0	32.0	49.0	12.0	43.0	24.0	28.0	27.0	52.0	30.0	27.0
ENSG00000051382	PIK3CB	19.0	17.0	26.0	44.0	30.0	23.0	21.0	31.0	27.0	23.0	11.0	34.0	8.0	21.0	24.0	20.0	7.0	42.0	31.0	29.0	21.0	8.0	28.0	20.0	20.0	18.0	17.0	113.0	21.0	22.0	27.0	49.0
ENSG00000058335	RASGRF1				48.0			1.0		1.0			0.6		26.0	2.0	2.0	0.9	0.7	2.0						1.0		1.0		2.0	0.9	3.0	
ENSG00000058404	CAMK2B		14.0		133.0		1.0			2.0		30.0	0.9	1.0		1.0		0.7		4.0		0.5	35.0	1.0			2.0	4.0	16.0	2.0		1.0	0.7
ENSG00000065361	ERBB3	2.0	4.0		34.0	109.0	118.0	15.0	57.0	31.0	88.0	2.0	44.0	20.0	66.0		2.0	11.0	27.0	74.0	105.0	59.0		120.0	9.0		83.0	4.0	8.0	20.0	53.0	10.0	95.0
ENSG00000066027	PPP2R5A	139.0	33.0	136.0	69.0	76.0	55.0	78.0	124.0	67.0	91.0	54.0	49.0	45.0	192.0	86.0	47.0	17.0	98.0	67.0	84.0	48.0	18.0	73.0	67.0	140.0	82.0	44.0	130.0	72.0	90.0	63.0	72.0
ENSG00000066468	FGFR2	3.0	26.0		57.0	30.0	10.0	116.0	31.0	55.0	51.0	0.6	23.0	19.0	48.0	3.0	37.0	7.0	27.0	33.0	25.0	35.0		15.0	53.0	1.0	21.0	14.0	96.0	11.0	25.0	13.0	125.0
ENSG00000068078	FGFR3	1.0	1.0	3.0	82.0	12.0	42.0	3.0	91.0	5.0	39.0	2.0	36.0	12.0	30.0	1.0	0.5	29.0	38.0	22.0	11.0	2.0		35.0	1.0	9.0	19.0	73.0	3.0	28.0	47.0	3.0	457.0
ENSG00000068878	PSME4	19.0	25.0	64.0	23.0	22.0	18.0	63.0	32.0	26.0	54.0	19.0	16.0	30.0	27.0	43.0	24.0	5.0	27.0	34.0	27.0	22.0	18.0	15.0	59.0	37.0	29.0	126.0	57.0	39.0	41.0	39.0	25.0
ENSG00000068971	PPP2R5B	20.0	25.0	25.0	86.0	18.0	15.0	33.0	19.0	25.0	47.0	15.0	17.0	7.0	40.0	25.0	19.0	7.0	30.0	24.0	19.0	10.0	8.0	19.0	42.0	46.0	14.0	14.0	34.0	20.0	22.0	25.0	25.0
ENSG00000070182	SPTB	2.0	2.0	48.0	12.0			0.7		0.9	0.9	14.0	2.0		1.0		0.5	0.8	11.0	0.6			35.0		1.0	2.0		2.0			0.5	0.6	
ENSG00000070193	FGF10	22.0	5.0		2.0	3.0	1.0	9.0	5.0	11.0	13.0		0.8		6.0	2.0	72.0	2.0	21.0	14.0	5.0	9.0		2.0	4.0		3.0	3.0	2.0	0.5	11.0	10.0	
ENSG00000070388	FGF22				2.0												2.0			0.6								0.9					4.0
ENSG00000070808	CAMK2A		2.0		463.0	0.6		8.0	0.6	5.0	0.7	7.0	2.0		3.0		0.9		1.0	1.0	0.7		52.0	0.6	11.0	0.7					2.0	0.9	1.0
ENSG00000075388	FGF4																											1.0					
ENSG00000075391	RASAL2	13.0	7.0	0.9	18.0	8.0	4.0	16.0	22.0	16.0	20.0	10.0	9.0	3.0	20.0	5.0	8.0	1.0	20.0	11.0	8.0	3.0	2.0	6.0	16.0	8.0	5.0	19.0	14.0	4.0	11.0	6.0	15.0
ENSG00000075413	MARK3	22.0	31.0	60.0	36.0	21.0	20.0	45.0	29.0	40.0	33.0	15.0	16.0	10.0	40.0	35.0	38.0	8.0	30.0	26.0	24.0	11.0	11.0	21.0	40.0	42.0	24.0	41.0	48.0	27.0	32.0	34.0	29.0
ENSG00000075624	ACTB	1993.0	1492.0	3620.0	2496.0	2154.0	1758.0	4083.0	3806.0	3073.0	3336.0	413.0	845.0	1276.0	4170.0	6341.0	2515.0	206.0	3399.0	3217.0	2537.0	928.0	179.0	2375.0	8839.0	5150.0	2040.0	1109.0	2692.0	6254.0	4419.0	6879.0	1416.0
