Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000005339	CREBBP	20.0	15.0	56.0	26.0	19.0	15.0	47.0	22.0	40.0	29.0	8.0	15.0	9.0	30.0	32.0	59.0	7.0	29.0	26.0	15.0	14.0	10.0	17.0	32.0	42.0	20.0	51.0	41.0	18.0	25.0	31.0	30.0
ENSG00000007923	DNAJC11	18.0	30.0	16.0	30.0	33.0	27.0	33.0	23.0	32.0	24.0	21.0	35.0	13.0	23.0	28.0	36.0	5.0	28.0	23.0	44.0	12.0	13.0	26.0	33.0	32.0	22.0	30.0	31.0	22.0	22.0	31.0	25.0
ENSG00000023330	ALAS1	59.0	1467.0	274.0	66.0	87.0	92.0	60.0	76.0	58.0	91.0	106.0	48.0	665.0	134.0	64.0	45.0	8.0	104.0	64.0	95.0	50.0	56.0	81.0	72.0	46.0	70.0	70.0	81.0	72.0	123.0	73.0	43.0
ENSG00000029639	TFB1M	6.0	20.0	4.0	8.0	12.0	8.0	12.0	10.0	18.0	11.0	8.0	6.0	7.0	11.0	19.0	15.0	1.0	8.0	11.0	15.0	6.0	4.0	9.0	15.0	15.0	9.0	25.0	19.0	15.0	14.0	14.0	14.0
ENSG00000081189	MEF2C	19.0	31.0	4.0	138.0	12.0	6.0	38.0	18.0	26.0	39.0	15.0	9.0	5.0	30.0	80.0	43.0	0.7	45.0	13.0	14.0	4.0	96.0	8.0	39.0	50.0	7.0	13.0	34.0	74.0	33.0	49.0	5.0
ENSG00000082014	SMARCD3	18.0	32.0	10.0	60.0	7.0	6.0	34.0	12.0	36.0	29.0	28.0	7.0	1.0	22.0	10.0	45.0	3.0	16.0	31.0	8.0	7.0	38.0	7.0	27.0	15.0	8.0	31.0	24.0	4.0	21.0	12.0	15.0
ENSG00000084676	NCOA1	33.0	38.0	32.0	87.0	30.0	43.0	67.0	52.0	51.0	48.0	17.0	33.0	17.0	48.0	46.0	81.0	8.0	41.0	39.0	36.0	20.0	14.0	41.0	59.0	48.0	24.0	67.0	44.0	36.0	40.0	46.0	41.0
ENSG00000089163	SIRT4	0.9	8.0	0.5	4.0	2.0	7.0	6.0	4.0	7.0	3.0	5.0	8.0	4.0	5.0	3.0	9.0	1.0	4.0	4.0	3.0	4.0	7.0	4.0	5.0	4.0	2.0	19.0	8.0	2.0	4.0	3.0	8.0
ENSG00000099624	ATP5F1D	28.0	38.0	25.0	36.0	35.0	63.0	14.0	9.0	22.0	11.0	37.0	32.0	17.0	23.0	25.0	36.0	11.0	28.0	36.0	11.0	34.0	115.0	43.0	9.0	37.0	30.0	19.0	15.0	9.0	10.0	28.0	15.0
ENSG00000099821	POLRMT	9.0	13.0	13.0	16.0	13.0	21.0	13.0	9.0	19.0	8.0	7.0	15.0	8.0	16.0	18.0	20.0	4.0	14.0	18.0	6.0	10.0	9.0	18.0	10.0	33.0	11.0	60.0	13.0	7.0	9.0	15.0	13.0
ENSG00000100347	SAMM50	27.0	30.0	16.0	22.0	19.0	26.0	31.0	23.0	40.0	29.0	18.0	22.0	9.0	18.0	26.0	35.0	3.0	18.0	21.0	23.0	13.0	32.0	23.0	24.0	21.0	19.0	27.0	30.0	26.0	25.0	24.0	26.0
ENSG00000101849	TBL1X	13.0	16.0	8.0	15.0	10.0	4.0	117.0	20.0	45.0	20.0	6.0	24.0	10.0	12.0	19.0	39.0	3.0	53.0	48.0	9.0	7.0	2.0	7.0	82.0	17.0	8.0	24.0	30.0	17.0	24.0	20.0	12.0
ENSG00000104064	GABPB1	11.0	8.0	26.0	7.0	10.0	7.0	16.0	9.0	15.0	15.0	3.0	5.0	5.0	13.0	24.0	13.0	2.0	17.0	13.0	12.0	5.0	1.0	9.0	14.0	15.0	8.0	15.0	14.0	21.0	15.0	23.0	9.0
ENSG00000105662	CRTC1	6.0	7.0	3.0	36.0	4.0	4.0	10.0	4.0	21.0	9.0	3.0	8.0	0.9	12.0	10.0	12.0	2.0	9.0	13.0	3.0	5.0	3.0	5.0	7.0	13.0	6.0	15.0	18.0	4.0	6.0	9.0	5.0
ENSG00000106028	SSBP1	24.0	32.0	47.0	28.0	31.0	21.0	41.0	27.0	30.0	28.0	15.0	23.0	19.0	27.0	46.0	40.0	4.0	32.0	30.0	33.0	12.0	9.0	23.0	37.0	31.0	29.0	35.0	39.0	43.0	26.0	42.0	24.0
ENSG00000106459	NRF1	12.0	10.0	22.0	14.0	11.0	11.0	34.0	14.0	42.0	16.0	7.0	8.0	4.0	21.0	31.0	45.0	3.0	20.0	18.0	13.0	8.0	7.0	14.0	22.0	27.0	10.0	18.0	29.0	23.0	15.0	21.0	19.0
ENSG00000106554	CHCHD3	48.0	38.0	49.0	29.0	49.0	55.0	52.0	32.0	44.0	39.0	60.0	42.0	17.0	37.0	40.0	40.0	6.0	48.0	36.0	56.0	16.0	90.0	47.0	57.0	32.0	32.0	30.0	54.0	36.0	39.0	44.0	18.0
ENSG00000106617	PRKAG2	19.0	10.0	11.0	34.0	19.0	25.0	24.0	19.0	20.0	22.0	62.0	17.0	15.0	19.0	18.0	18.0	3.0	21.0	36.0	22.0	12.0	2.0	29.0	27.0	26.0	15.0	22.0	37.0	11.0	31.0	21.0	12.0
ENSG00000107815	TWNK	4.0	13.0	6.0	10.0	10.0	7.0	16.0	10.0	20.0	8.0	3.0	7.0	4.0	6.0	19.0	18.0	2.0	11.0	9.0	9.0	5.0	5.0	6.0	13.0	11.0	6.0	29.0	15.0	18.0	10.0	16.0	11.0
ENSG00000108064	TFAM	24.0	36.0	35.0	22.0	37.0	33.0	52.0	30.0	44.0	33.0	13.0	32.0	22.0	30.0	57.0	46.0	4.0	47.0	42.0	36.0	17.0	6.0	33.0	32.0	38.0	23.0	64.0	64.0	45.0	37.0	48.0	24.0
ENSG00000109189	USP46	7.0	16.0	6.0	56.0	8.0	7.0	19.0	26.0	20.0	17.0	24.0	14.0	2.0	10.0	8.0	24.0	2.0	11.0	15.0	7.0	9.0	6.0	7.0	11.0	7.0	9.0	24.0	27.0	9.0	17.0	8.0	18.0
