Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000005339	CREBBP	20.0	15.0	56.0	26.0	19.0	15.0	47.0	22.0	40.0	29.0	8.0	15.0	9.0	30.0	32.0	59.0	7.0	29.0	26.0	15.0	14.0	10.0	17.0	32.0	42.0	20.0	51.0	41.0	18.0	25.0	31.0	30.0
ENSG00000005483	KMT2E	35.0	32.0	74.0	61.0	53.0	35.0	110.0	44.0	71.0	67.0	17.0	28.0	15.0	63.0	79.0	109.0	8.0	50.0	55.0	54.0	24.0	7.0	37.0	65.0	72.0	49.0	46.0	73.0	58.0	59.0	66.0	54.0
ENSG00000005961	ITGA2B	1.0		16.0	2.0			2.0		4.0	3.0				4.0		3.0		2.0	1.0					0.9	4.0		6.0	6.0		0.6	0.6	0.6
ENSG00000008018	PSMB1	137.0	165.0	151.0	111.0	132.0	130.0	210.0	136.0	218.0	171.0	80.0	99.0	91.0	158.0	216.0	164.0	24.0	239.0	167.0	158.0	69.0	55.0	140.0	204.0	165.0	112.0	128.0	201.0	214.0	146.0	192.0	138.0
ENSG00000010803	SCMH1	32.0	29.0	28.0	22.0	22.0	21.0	77.0	29.0	71.0	47.0	36.0	23.0	5.0	39.0	26.0	90.0	11.0	28.0	64.0	34.0	30.0	18.0	29.0	65.0	28.0	24.0	78.0	67.0	23.0	47.0	30.0	22.0
ENSG00000013275	PSMC4	63.0	85.0	83.0	98.0	82.0	77.0	101.0	94.0	119.0	109.0	49.0	75.0	43.0	81.0	102.0	79.0	14.0	121.0	91.0	77.0	33.0	34.0	71.0	117.0	94.0	63.0	101.0	165.0	105.0	110.0	114.0	86.0
ENSG00000015153	YAF2	5.0	8.0	9.0	16.0	4.0	4.0	13.0	6.0	8.0	10.0	12.0	4.0	6.0	6.0	8.0	9.0	0.9	8.0	8.0	5.0	2.0	4.0	5.0	8.0	10.0	3.0	6.0	11.0	6.0	8.0	7.0	4.0
ENSG00000020426	MNAT1	10.0	14.0	6.0	14.0	7.0	6.0	19.0	10.0	22.0	16.0	7.0	9.0	6.0	10.0	11.0	15.0	2.0	12.0	16.0	7.0	8.0	11.0	6.0	12.0	7.0	7.0	9.0	19.0	10.0	12.0	10.0	6.0
ENSG00000041357	PSMA4	34.0	42.0	49.0	38.0	56.0	48.0	61.0	40.0	45.0	54.0	18.0	35.0	32.0	40.0	73.0	32.0	4.0	53.0	61.0	45.0	14.0	17.0	51.0	59.0	48.0	36.0	58.0	49.0	63.0	57.0	77.0	37.0
ENSG00000049618	ARID1B	7.0	5.0	6.0	7.0	6.0	5.0	13.0	7.0	13.0	9.0	3.0	5.0	2.0	9.0	10.0	17.0	2.0	7.0	9.0	6.0	6.0	3.0	7.0	10.0	12.0	6.0	6.0	17.0	8.0	10.0	8.0	14.0
ENSG00000049768	FOXP3			2.0	1.0	0.7	1.0	1.0	1.0	0.5	4.0			0.9	2.0	12.0	0.7		0.6	1.0	0.8	1.0		1.0	0.6	5.0	2.0	3.0	1.0	7.0	9.0	16.0	2.0
ENSG00000055609	KMT2C	13.0	17.0	48.0	24.0	20.0	11.0	38.0	20.0	34.0	25.0	7.0	15.0	8.0	21.0	26.0	51.0	6.0	32.0	23.0	18.0	14.0	8.0	12.0	27.0	25.0	17.0	30.0	49.0	17.0	21.0	23.0	35.0
ENSG00000064393	HIPK2	46.0	25.0	20.0	112.0	22.0	18.0	16.0	22.0	35.0	19.0	34.0	70.0	11.0	31.0	15.0	21.0	6.0	32.0	29.0	14.0	20.0	14.0	14.0	12.0	24.0	47.0	6.0	41.0	11.0	20.0	26.0	7.0
ENSG00000065675	PRKCQ	1.0	2.0	12.0	20.0	4.0	4.0	12.0	2.0	14.0	7.0	0.5	9.0	1.0	22.0	46.0	4.0	1.0	0.7	2.0	5.0	1.0	76.0	7.0	3.0	18.0	4.0	4.0	63.0	24.0	9.0	21.0	0.8
ENSG00000066117	SMARCD1	32.0	35.0	47.0	41.0	23.0	31.0	67.0	30.0	55.0	40.0	11.0	25.0	9.0	47.0	66.0	53.0	6.0	53.0	33.0	41.0	19.0	5.0	34.0	65.0	55.0	22.0	57.0	61.0	75.0	41.0	50.0	37.0
ENSG00000066336	SPI1	23.0	21.0	379.0	18.0	14.0	25.0	12.0	11.0	15.0	38.0	5.0	6.0	14.0	126.0	101.0	4.0	2.0	62.0	11.0	15.0	6.0	1.0	30.0	10.0	219.0	31.0	8.0	8.0	51.0	44.0	209.0	16.0
ENSG00000067955	CBFB	30.0	32.0	44.0	35.0	28.0	18.0	68.0	42.0	55.0	74.0	16.0	21.0	24.0	54.0	134.0	52.0	6.0	50.0	35.0	33.0	18.0	7.0	25.0	44.0	64.0	42.0	25.0	63.0	100.0	63.0	91.0	41.0
ENSG00000068878	PSME4	19.0	25.0	64.0	23.0	22.0	18.0	63.0	32.0	26.0	54.0	19.0	16.0	30.0	27.0	43.0	24.0	5.0	27.0	34.0	27.0	22.0	18.0	15.0	59.0	37.0	29.0	126.0	57.0	39.0	41.0	39.0	25.0
ENSG00000070770	CSNK2A2	32.0	26.0	40.0	39.0	29.0	22.0	49.0	32.0	41.0	42.0	10.0	24.0	17.0	39.0	41.0	53.0	9.0	48.0	30.0	31.0	14.0	6.0	21.0	44.0	39.0	21.0	149.0	45.0	41.0	36.0	37.0	106.0
ENSG00000071564	TCF3	11.0	10.0	67.0	13.0	21.0	25.0	43.0	13.0	28.0	22.0	5.0	11.0	3.0	27.0	83.0	41.0	5.0	27.0	23.0	12.0	12.0	4.0	32.0	15.0	63.0	21.0	87.0	23.0	51.0	30.0	51.0	25.0
ENSG00000073584	SMARCE1	2.0	2.0	4.0	3.0	2.0	3.0	7.0	2.0	4.0	4.0	1.0	2.0	0.9	3.0	4.0	5.0	0.6	2.0	5.0	4.0	1.0		3.0	4.0	4.0	2.0	2.0	6.0	2.0	3.0	3.0	3.0
ENSG00000077080	ACTL6B		4.0		57.0																						0.8	3.0					
ENSG00000078687	TNRC6C	8.0	7.0	4.0	27.0	5.0	4.0	20.0	6.0	15.0	13.0	5.0	6.0	3.0	9.0	13.0	20.0	1.0	4.0	12.0	5.0	7.0	4.0	4.0	14.0	15.0	5.0	21.0	10.0	9.0	7.0	11.0	6.0
ENSG00000078747	ITCH	39.0	45.0	41.0	64.0	52.0	39.0	70.0	92.0	56.0	63.0	20.0	41.0	64.0	52.0	60.0	57.0	8.0	65.0	56.0	50.0	23.0	8.0	45.0	60.0	56.0	44.0	95.0	93.0	51.0	65.0	59.0	37.0
ENSG00000078900	TP73			0.5					2.0	14.0					2.0	2.0				2.0		2.0				0.6		1.0		2.0	0.7	2.0	9.0
ENSG00000080503	SMARCA2	39.0	37.0	59.0	46.0	23.0	14.0	60.0	27.0	59.0	45.0	15.0	29.0	26.0	46.0	43.0	110.0	5.0	49.0	41.0	24.0	21.0	15.0	20.0	36.0	45.0	24.0	66.0	63.0	33.0	33.0	35.0	47.0
ENSG00000082014	SMARCD3	18.0	32.0	10.0	60.0	7.0	6.0	34.0	12.0	36.0	29.0	28.0	7.0	1.0	22.0	10.0	45.0	3.0	16.0	31.0	8.0	7.0	38.0	7.0	27.0	15.0	8.0	31.0	24.0	4.0	21.0	12.0	15.0
ENSG00000087191	PSMC5	58.0	76.0	60.0	91.0	56.0	47.0	84.0	80.0	91.0	77.0	36.0	67.0	36.0	68.0	89.0	61.0	11.0	83.0	82.0	64.0	32.0	29.0	49.0	89.0	81.0	45.0	95.0	103.0	83.0	70.0	87.0	101.0
ENSG00000090905	TNRC6A	20.0	35.0	15.0	25.0	16.0	17.0	57.0	20.0	36.0	34.0	11.0	16.0	12.0	29.0	37.0	60.0	5.0	29.0	32.0	22.0	14.0	8.0	18.0	35.0	30.0	17.0	30.0	30.0	25.0	24.0	28.0	35.0
ENSG00000091831	ESR1	5.0	3.0	0.5	0.6	0.7		249.0	0.9	132.0	2.0	0.8	3.0	13.0	3.0	3.0	18.0		0.9	17.0	1.0	0.5	2.0	0.5	123.0	3.0	0.8	4.0	9.0	3.0	3.0	2.0	1.0
ENSG00000092010	PSME1	108.0	247.0	243.0	80.0	230.0	321.0	289.0	163.0	388.0	256.0	65.0	157.0	136.0	324.0	452.0	284.0	30.0	257.0	219.0	286.0	138.0	31.0	345.0	241.0	442.0	222.0	51.0	262.0	414.0	317.0	364.0	171.0
ENSG00000092847	AGO1	10.0	15.0	13.0	18.0	13.0	11.0	21.0	13.0	19.0	14.0	6.0	13.0	3.0	16.0	16.0	21.0	2.0	13.0	19.0	14.0	7.0	4.0	14.0	21.0	21.0	13.0	16.0	20.0	15.0	12.0	17.0	24.0
ENSG00000095261	PSMD5	28.0	39.0	32.0	23.0	30.0	24.0	61.0	45.0	47.0	41.0	9.0	22.0	16.0	37.0	38.0	47.0	6.0	33.0	49.0	33.0	23.0	4.0	27.0	51.0	32.0	29.0	37.0	59.0	42.0	52.0	38.0	41.0
ENSG00000097007	ABL1	54.0	39.0	29.0	44.0	56.0	40.0	164.0	79.0	126.0	132.0	23.0	31.0	6.0	59.0	43.0	111.0	12.0	84.0	75.0	49.0	34.0	11.0	46.0	137.0	63.0	36.0	55.0	103.0	31.0	97.0	73.0	37.0
ENSG00000099341	PSMD8	111.0	74.0	87.0	76.0	64.0	74.0	81.0	91.0	119.0	75.0	88.0	52.0	39.0	81.0	97.0	72.0	20.0	125.0	116.0	89.0	43.0	63.0	74.0	127.0	73.0	63.0	143.0	116.0	107.0	68.0	87.0	110.0
ENSG00000099381	SETD1A	12.0	14.0	37.0	13.0	9.0	14.0	30.0	13.0	27.0	15.0	6.0	9.0	5.0	22.0	27.0	35.0	5.0	20.0	19.0	8.0	11.0	6.0	13.0	20.0	32.0	11.0	61.0	26.0	12.0	15.0	22.0	17.0
ENSG00000099956	SMARCB1	5.0	10.0	13.0	12.0	9.0	10.0	17.0	9.0	20.0	11.0	4.0	8.0	3.0	10.0	24.0	26.0	2.0	19.0	13.0	12.0	6.0	2.0	10.0	12.0	17.0	9.0	23.0	16.0	22.0	12.0	19.0	12.0
ENSG00000100354	TNRC6B	5.0	8.0	8.0	9.0	10.0	5.0	10.0	5.0	10.0	9.0	4.0	6.0	4.0	7.0	12.0	11.0	1.0	6.0	8.0	7.0	4.0	3.0	6.0	9.0	13.0	5.0	21.0	15.0	8.0	7.0	11.0	10.0
ENSG00000100393	EP300	25.0	26.0	121.0	32.0	27.0	23.0	60.0	28.0	57.0	46.0	11.0	24.0	14.0	46.0	49.0	69.0	8.0	54.0	38.0	31.0	15.0	9.0	26.0	46.0	46.0	28.0	68.0	65.0	32.0	39.0	43.0	34.0
ENSG00000100519	PSMC6	24.0	32.0	47.0	42.0	30.0	29.0	52.0	37.0	37.0	36.0	19.0	23.0	18.0	33.0	45.0	43.0	5.0	40.0	36.0	34.0	12.0	14.0	29.0	41.0	37.0	26.0	26.0	45.0	35.0	34.0	43.0	33.0
ENSG00000100567	PSMA3	60.0	76.0	75.0	56.0	69.0	72.0	105.0	56.0	84.0	85.0	34.0	51.0	50.0	96.0	135.0	62.0	9.0	113.0	81.0	84.0	30.0	31.0	71.0	95.0	104.0	62.0	63.0	114.0	91.0	75.0	129.0	69.0
