Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000003402	CFLAR	47.0	27.0	43.0	12.0	22.0	21.0	46.0	25.0	33.0	44.0	24.0	27.0	12.0	63.0	49.0	18.0	4.0	38.0	34.0	26.0	14.0	12.0	27.0	36.0	55.0	22.0	13.0	50.0	30.0	29.0	56.0	25.0
ENSG00000023445	BIRC3	7.0	21.0	26.0	5.0	38.0	41.0	29.0	34.0	24.0	92.0	3.0	10.0	36.0	34.0	344.0	15.0	5.0	8.0	18.0	33.0	11.0	0.7	143.0	24.0	156.0	52.0	20.0	10.0	241.0	72.0	255.0	14.0
ENSG00000026103	FAS	15.0	40.0	35.0	11.0	28.0	15.0	45.0	33.0	51.0	50.0	4.0	9.0	30.0	46.0	55.0	61.0	0.8	25.0	34.0	58.0	3.0	1.0	21.0	38.0	33.0	11.0	12.0	25.0	36.0	36.0	59.0	22.0
ENSG00000064012	CASP8	12.0	10.0	90.0	3.0	17.0	20.0	16.0	15.0	23.0	21.0	3.0	9.0	5.0	25.0	62.0	11.0	0.9	13.0	12.0	22.0	6.0	0.5	21.0	14.0	55.0	16.0	5.0	16.0	32.0	24.0	47.0	13.0
ENSG00000101966	XIAP	26.0	28.0	14.0	41.0	44.0	27.0	35.0	33.0	39.0	42.0	11.0	34.0	19.0	35.0	36.0	32.0	5.0	34.0	40.0	31.0	13.0	5.0	29.0	30.0	41.0	31.0	18.0	82.0	25.0	37.0	37.0	31.0
ENSG00000102871	TRADD	12.0	13.0	7.0	5.0	14.0	12.0	11.0	10.0	19.0	10.0	3.0	13.0	4.0	22.0	23.0	7.0	2.0	18.0	21.0	9.0	9.0	2.0	14.0	11.0	34.0	29.0	5.0	11.0	17.0	10.0	29.0	14.0
ENSG00000104689	TNFRSF10A	8.0	6.0	13.0	2.0	14.0	11.0	8.0	17.0	13.0	26.0	1.0	7.0	6.0	20.0	31.0	1.0	1.0	17.0	8.0	13.0	3.0	0.7	11.0	11.0	20.0	9.0	0.9	9.0	24.0	14.0	24.0	9.0
ENSG00000110330	BIRC2	44.0	75.0	64.0	55.0	64.0	50.0	92.0	45.0	75.0	92.0	21.0	45.0	51.0	67.0	95.0	66.0	14.0	77.0	66.0	60.0	27.0	14.0	58.0	67.0	72.0	53.0	78.0	89.0	58.0	87.0	88.0	41.0
ENSG00000117560	FASLG		1.0	3.0		2.0	4.0	1.0	0.7	1.0	4.0		0.5	0.8	8.0	14.0	1.0		0.8	1.0	2.0	0.9		4.0	1.0	11.0	2.0		0.6	4.0	3.0	3.0	0.9
ENSG00000120889	TNFRSF10B	28.0	71.0	33.0	19.0	34.0	50.0	53.0	22.0	45.0	106.0	11.0	18.0	34.0	64.0	49.0	35.0	11.0	38.0	39.0	45.0	17.0	3.0	61.0	42.0	59.0	31.0	18.0	55.0	39.0	81.0	75.0	19.0
ENSG00000121858	TNFSF10	70.0	55.0	18.0	14.0	122.0	148.0	134.0	74.0	98.0	144.0	25.0	138.0	94.0	375.0	110.0	50.0	5.0	213.0	159.0	150.0	88.0	7.0	143.0	65.0	126.0	76.0	7.0	50.0	77.0	233.0	117.0	102.0
ENSG00000127191	TRAF2	5.0	8.0	15.0	7.0	9.0	12.0	14.0	13.0	16.0	12.0	4.0	5.0	3.0	16.0	34.0	13.0	2.0	21.0	14.0	7.0	9.0	2.0	13.0	9.0	27.0	12.0	20.0	20.0	20.0	14.0	22.0	17.0
ENSG00000137275	RIPK1	44.0	28.0	41.0	24.0	48.0	39.0	54.0	42.0	44.0	61.0	10.0	26.0	25.0	56.0	53.0	31.0	10.0	58.0	36.0	53.0	21.0	4.0	47.0	58.0	54.0	34.0	22.0	70.0	45.0	55.0	52.0	54.0
ENSG00000143947	RPS27A	350.0	505.0	782.0	260.0	540.0	361.0	858.0	379.0	828.0	381.0	146.0	324.0	219.0	427.0	960.0	1945.0	151.0	552.0	571.0	477.0	329.0	124.0	396.0	579.0	861.0	450.0	200.0	664.0	730.0	501.0	689.0	491.0
ENSG00000150991	UBC	616.0	615.0	1139.0	609.0	532.0	310.0	804.0	679.0	810.0	983.0	283.0	355.0	352.0	691.0	532.0	569.0	110.0	493.0	509.0	545.0	343.0	300.0	463.0	917.0	575.0	383.0	897.0	622.0	564.0	593.0	694.0	543.0
ENSG00000168040	FADD	3.0	5.0	3.0	3.0	6.0	5.0	5.0	3.0	6.0	4.0	2.0	6.0	4.0	6.0	8.0	6.0	0.8	8.0	5.0	4.0	2.0	1.0	6.0	5.0	6.0	5.0	4.0	6.0	4.0	5.0	8.0	4.0
ENSG00000170315	UBB	380.0	515.0	581.0	694.0	477.0	438.0	488.0	219.0	314.0	424.0	290.0	574.0	675.0	509.0	438.0	351.0	120.0	605.0	423.0	465.0	289.0	292.0	437.0	577.0	475.0	426.0	873.0	701.0	495.0	410.0	397.0	286.0
ENSG00000221983	UBA52	200.0	173.0	425.0	163.0	221.0	138.0	266.0	159.0	313.0	186.0	82.0	142.0	126.0	216.0	418.0	530.0	85.0	283.0	187.0	193.0	160.0	112.0	160.0	236.0	416.0	162.0	188.0	227.0	453.0	207.0	320.0	198.0
