Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000003756	RBM5	32.0	36.0	56.0	39.0	26.0	34.0	139.0	31.0	86.0	62.0	15.0	15.0	10.0	54.0	85.0	115.0	9.0	57.0	76.0	46.0	24.0	11.0	37.0	60.0	77.0	33.0	62.0	69.0	53.0	43.0	63.0	103.0
ENSG00000005075	POLR2J	13.0	34.0	42.0	20.0	18.0	27.0	25.0	12.0	30.0	23.0	17.0	13.0	7.0	29.0	33.0	32.0	6.0	30.0	33.0	14.0	19.0	27.0	27.0	17.0	34.0	17.0	27.0	22.0	21.0	15.0	32.0	22.0
ENSG00000005436	GCFC2	13.0	16.0	7.0	11.0	12.0	9.0	37.0	13.0	25.0	16.0	7.0	13.0	14.0	14.0	19.0	26.0	3.0	19.0	23.0	12.0	8.0	6.0	10.0	23.0	15.0	10.0	21.0	37.0	14.0	16.0	16.0	19.0
ENSG00000011304	PTBP1	60.0	66.0	154.0	24.0	78.0	89.0	110.0	76.0	100.0	94.0	15.0	56.0	38.0	104.0	137.0	105.0	22.0	165.0	93.0	52.0	57.0	8.0	98.0	67.0	140.0	74.0	73.0	112.0	77.0	79.0	138.0	86.0
ENSG00000021776	AQR	13.0	15.0	15.0	17.0	16.0	12.0	29.0	17.0	23.0	22.0	5.0	12.0	6.0	18.0	24.0	22.0	3.0	23.0	18.0	19.0	8.0	1.0	13.0	20.0	20.0	13.0	25.0	32.0	22.0	19.0	24.0	20.0
ENSG00000039123	MTREX	30.0	40.0	25.0	41.0	37.0	39.0	68.0	43.0	56.0	50.0	19.0	31.0	20.0	40.0	57.0	59.0	7.0	46.0	53.0	41.0	19.0	13.0	36.0	51.0	41.0	32.0	73.0	72.0	48.0	47.0	47.0	45.0
ENSG00000047315	POLR2B	48.0	62.0	70.0	82.0	70.0	56.0	102.0	62.0	96.0	94.0	42.0	48.0	22.0	69.0	128.0	81.0	12.0	77.0	76.0	79.0	29.0	25.0	58.0	98.0	86.0	53.0	101.0	121.0	107.0	92.0	107.0	61.0
ENSG00000060339	CCAR1	34.0	58.0	55.0	38.0	41.0	43.0	86.0	46.0	54.0	71.0	14.0	28.0	17.0	46.0	102.0	62.0	9.0	67.0	68.0	59.0	21.0	13.0	47.0	59.0	71.0	42.0	59.0	83.0	66.0	67.0	77.0	63.0
ENSG00000060688	SNRNP40	17.0	25.0	32.0	15.0	28.0	16.0	36.0	20.0	38.0	24.0	7.0	15.0	10.0	25.0	44.0	31.0	3.0	29.0	29.0	25.0	8.0	4.0	16.0	27.0	29.0	17.0	35.0	33.0	46.0	27.0	33.0	23.0
ENSG00000063244	U2AF2	64.0	82.0	154.0	87.0	80.0	94.0	126.0	78.0	147.0	93.0	34.0	50.0	29.0	111.0	176.0	158.0	17.0	129.0	107.0	62.0	46.0	18.0	94.0	112.0	172.0	87.0	124.0	110.0	125.0	90.0	159.0	77.0
ENSG00000065978	YBX1	629.0	324.0	905.0	169.0	647.0	402.0	540.0	469.0	419.0	404.0	432.0	290.0	208.0	540.0	734.0	443.0	72.0	503.0	388.0	570.0	167.0	588.0	451.0	649.0	669.0	380.0	2103.0	462.0	564.0	486.0	810.0	317.0
ENSG00000066044	ELAVL1	22.0	30.0	21.0	43.0	29.0	21.0	49.0	29.0	53.0	32.0	15.0	21.0	15.0	36.0	50.0	47.0	6.0	42.0	39.0	28.0	16.0	7.0	23.0	42.0	42.0	22.0	67.0	43.0	44.0	35.0	41.0	25.0
ENSG00000068394	GPKOW	33.0	34.0	32.0	53.0	31.0	30.0	47.0	33.0	61.0	40.0	20.0	26.0	18.0	42.0	42.0	43.0	5.0	47.0	42.0	31.0	15.0	17.0	31.0	44.0	47.0	27.0	29.0	49.0	33.0	35.0	35.0	38.0
ENSG00000071894	CPSF1	25.0	31.0	79.0	21.0	29.0	104.0	55.0	34.0	58.0	55.0	14.0	20.0	11.0	50.0	63.0	67.0	14.0	58.0	82.0	20.0	45.0	9.0	68.0	39.0	100.0	34.0	150.0	41.0	21.0	35.0	73.0	37.0
ENSG00000076924	XAB2	22.0	24.0	70.0	25.0	16.0	23.0	33.0	22.0	48.0	22.0	10.0	21.0	9.0	38.0	44.0	76.0	9.0	43.0	41.0	7.0	28.0	8.0	24.0	20.0	56.0	23.0	62.0	41.0	13.0	22.0	31.0	28.0
ENSG00000077312	SNRPA	30.0	30.0	67.0	25.0	37.0	43.0	73.0	35.0	73.0	30.0	15.0	17.0	10.0	47.0	89.0	89.0	7.0	58.0	50.0	42.0	22.0	9.0	50.0	51.0	89.0	35.0	47.0	60.0	58.0	32.0	63.0	38.0
ENSG00000084072	PPIE	14.0	15.0	16.0	13.0	12.0	13.0	25.0	14.0	31.0	15.0	7.0	9.0	6.0	15.0	23.0	33.0	5.0	20.0	19.0	19.0	9.0	4.0	14.0	20.0	24.0	9.0	32.0	33.0	25.0	17.0	21.0	20.0
ENSG00000084463	WBP11	45.0	59.0	112.0	79.0	51.0	35.0	89.0	52.0	89.0	60.0	37.0	38.0	24.0	68.0	83.0	82.0	11.0	74.0	63.0	51.0	30.0	20.0	41.0	72.0	75.0	44.0	137.0	90.0	74.0	59.0	71.0	59.0
ENSG00000085872	CHERP	11.0	10.0	17.0	17.0	9.0	13.0	20.0	11.0	22.0	13.0	5.0	10.0	5.0	13.0	19.0	25.0	4.0	20.0	17.0	5.0	13.0	6.0	12.0	11.0	27.0	13.0	28.0	17.0	8.0	11.0	18.0	10.0
ENSG00000086589	RBM22	42.0	41.0	112.0	53.0	41.0	43.0	106.0	38.0	78.0	76.0	20.0	29.0	18.0	66.0	93.0	95.0	9.0	76.0	50.0	57.0	22.0	14.0	45.0	70.0	81.0	41.0	39.0	77.0	78.0	56.0	69.0	52.0
ENSG00000087087	SRRT	45.0	57.0	165.0	57.0	44.0	56.0	101.0	52.0	93.0	79.0	23.0	36.0	26.0	81.0	134.0	103.0	14.0	89.0	86.0	46.0	43.0	15.0	60.0	70.0	114.0	58.0	268.0	81.0	66.0	62.0	110.0	96.0
ENSG00000087365	SF3B2	51.0	50.0	96.0	68.0	49.0	46.0	99.0	51.0	125.0	68.0	24.0	39.0	23.0	77.0	96.0	127.0	13.0	86.0	64.0	59.0	31.0	10.0	49.0	88.0	85.0	47.0	124.0	110.0	91.0	63.0	82.0	67.0
ENSG00000089280	FUS	82.0	70.0	158.0	101.0	60.0	64.0	196.0	45.0	120.0	93.0	27.0	43.0	19.0	105.0	220.0	170.0	11.0	94.0	112.0	76.0	36.0	26.0	71.0	97.0	170.0	64.0	149.0	107.0	121.0	59.0	174.0	121.0
ENSG00000090060	PAPOLA	40.0	61.0	54.0	42.0	59.0	47.0	95.0	58.0	79.0	87.0	26.0	36.0	33.0	61.0	94.0	89.0	11.0	80.0	59.0	65.0	32.0	8.0	57.0	73.0	79.0	58.0	98.0	98.0	77.0	74.0	83.0	58.0
ENSG00000092199	HNRNPC	78.0	138.0	209.0	132.0	106.0	83.0	224.0	109.0	192.0	142.0	45.0	82.0	60.0	112.0	246.0	229.0	16.0	174.0	140.0	117.0	51.0	21.0	104.0	147.0	161.0	84.0	101.0	172.0	207.0	152.0	181.0	100.0
ENSG00000096401	CDC5L	28.0	38.0	49.0	45.0	34.0	23.0	64.0	38.0	45.0	37.0	20.0	22.0	27.0	39.0	45.0	56.0	6.0	41.0	44.0	32.0	16.0	12.0	26.0	45.0	37.0	27.0	52.0	50.0	46.0	41.0	41.0	29.0
ENSG00000099783	HNRNPM	72.0	71.0	169.0	86.0	105.0	74.0	136.0	60.0	109.0	75.0	27.0	73.0	50.0	104.0	165.0	133.0	13.0	118.0	104.0	85.0	38.0	36.0	85.0	108.0	130.0	85.0	115.0	107.0	140.0	73.0	147.0	82.0
ENSG00000099817	POLR2E	92.0	44.0	43.0	51.0	31.0	55.0	60.0	49.0	76.0	41.0	29.0	39.0	35.0	64.0	62.0	53.0	12.0	67.0	53.0	18.0	36.0	20.0	45.0	31.0	70.0	36.0	60.0	55.0	32.0	45.0	55.0	46.0
ENSG00000099995	SF3A1	55.0	56.0	97.0	66.0	59.0	47.0	114.0	61.0	115.0	75.0	22.0	51.0	27.0	90.0	111.0	138.0	14.0	85.0	80.0	62.0	34.0	16.0	51.0	107.0	112.0	60.0	148.0	107.0	96.0	67.0	99.0	70.0
ENSG00000100028	SNRPD3	48.0	76.0	89.0	70.0	91.0	77.0	128.0	78.0	124.0	72.0	43.0	78.0	59.0	97.0	151.0	111.0	13.0	113.0	119.0	85.0	44.0	36.0	87.0	96.0	98.0	75.0	74.0	143.0	141.0	86.0	107.0	71.0
ENSG00000100109	TFIP11	15.0	14.0	56.0	22.0	14.0	14.0	22.0	17.0	28.0	21.0	9.0	13.0	8.0	22.0	33.0	20.0	4.0	22.0	17.0	14.0	8.0	10.0	14.0	22.0	23.0	12.0	51.0	34.0	30.0	23.0	22.0	25.0
ENSG00000100138	SNU13	56.0	135.0	81.0	146.0	69.0	54.0	118.0	62.0	149.0	83.0	67.0	61.0	29.0	89.0	121.0	147.0	17.0	93.0	95.0	75.0	41.0	45.0	56.0	104.0	99.0	60.0	118.0	152.0	125.0	88.0	89.0	79.0
ENSG00000100142	POLR2F	9.0	9.0	8.0	21.0	10.0	7.0	12.0	6.0	14.0	8.0	5.0	9.0	9.0	9.0	9.0	15.0	2.0	10.0	11.0	6.0	8.0	6.0	8.0	9.0	8.0	8.0	11.0	8.0	6.0	6.0	9.0	7.0
ENSG00000100410	PHF5A	39.0	40.0	95.0	37.0	50.0	39.0	67.0	41.0	67.0	57.0	18.0	30.0	20.0	49.0	86.0	44.0	11.0	68.0	44.0	54.0	20.0	15.0	40.0	53.0	52.0	35.0	51.0	62.0	100.0	51.0	62.0	42.0
ENSG00000100603	SNW1	67.0	72.0	175.0	78.0	75.0	65.0	142.0	87.0	126.0	101.0	42.0	55.0	43.0	101.0	127.0	135.0	15.0	123.0	88.0	78.0	38.0	21.0	72.0	109.0	116.0	65.0	163.0	131.0	112.0	106.0	107.0	90.0
ENSG00000100650	SRSF5	243.0	303.0	568.0	194.0	156.0	197.0	659.0	236.0	384.0	378.0	93.0	109.0	72.0	348.0	497.0	538.0	33.0	304.0	529.0	217.0	139.0	72.0	256.0	249.0	480.0	170.0	246.0	472.0	235.0	210.0	355.0	545.0
ENSG00000100836	PABPN1	37.0	63.0	73.0	52.0	33.0	61.0	101.0	33.0	79.0	59.0	18.0	25.0	17.0	57.0	76.0	68.0	8.0	62.0	83.0	53.0	28.0	15.0	54.0	54.0	89.0	46.0	83.0	69.0	56.0	35.0	54.0	63.0
ENSG00000101138	CSTF1	13.0	16.0	9.0	19.0	15.0	15.0	29.0	18.0	33.0	23.0	9.0	13.0	12.0	24.0	32.0	36.0	5.0	26.0	25.0	17.0	14.0	4.0	13.0	25.0	26.0	16.0	40.0	34.0	30.0	23.0	24.0	20.0
