Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000064300	NGFR	12.0	32.0	0.5	4.0	7.0	5.0	9.0	5.0	21.0	21.0	11.0	5.0	13.0	1.0	15.0	0.8	2.0	39.0	22.0	5.0	16.0		6.0	15.0	52.0	2.0	17.0	5.0	8.0	8.0	25.0	10.0
ENSG00000080815	PSEN1	21.0	25.0	19.0	49.0	47.0	41.0	44.0	32.0	35.0	45.0	7.0	25.0	12.0	38.0	28.0	27.0	4.0	51.0	29.0	45.0	12.0	3.0	44.0	34.0	26.0	27.0	44.0	56.0	30.0	38.0	30.0	39.0
ENSG00000107643	MAPK8	10.0	13.0	13.0	31.0	15.0	15.0	31.0	15.0	17.0	23.0	5.0	14.0	11.0	16.0	16.0	24.0	3.0	14.0	18.0	15.0	8.0	5.0	17.0	18.0	14.0	10.0	22.0	31.0	13.0	14.0	17.0	11.0
ENSG00000117362	APH1A	97.0	105.0	97.0	73.0	139.0	110.0	167.0	160.0	210.0	155.0	52.0	91.0	66.0	175.0	151.0	194.0	28.0	162.0	132.0	159.0	73.0	17.0	115.0	116.0	176.0	142.0	67.0	250.0	161.0	142.0	118.0	153.0
ENSG00000134259	NGF	3.0	4.0		2.0	2.0		10.0	2.0	8.0	3.0	5.0	4.0	4.0	2.0	2.0	32.0		3.0	2.0	1.0	2.0		1.0	6.0	8.0		2.0	1.0		3.0	5.0	0.5
ENSG00000138613	APH1B	15.0	31.0	7.0	28.0	8.0	5.0	29.0	9.0	47.0	24.0	6.0	12.0	3.0	23.0	22.0	42.0	2.0	20.0	34.0	9.0	7.0	2.0	7.0	17.0	32.0	9.0	114.0	59.0	13.0	20.0	20.0	9.0
ENSG00000142856	ITGB3BP	8.0	13.0	10.0	4.0	10.0	5.0	15.0	7.0	11.0	12.0	3.0	7.0	2.0	10.0	17.0	20.0	2.0	9.0	13.0	7.0	2.0	0.7	5.0	8.0	9.0	6.0	22.0	14.0	12.0	11.0	13.0	9.0
ENSG00000143801	PSEN2	17.0	30.0	2.0	22.0	12.0	16.0	24.0	16.0	22.0	23.0	10.0	10.0	5.0	27.0	14.0	18.0	13.0	20.0	38.0	13.0	12.0	13.0	15.0	25.0	29.0	13.0	30.0	20.0	8.0	19.0	16.0	15.0
ENSG00000143947	RPS27A	350.0	505.0	782.0	260.0	540.0	361.0	858.0	379.0	828.0	381.0	146.0	324.0	219.0	427.0	960.0	1945.0	151.0	552.0	571.0	477.0	329.0	124.0	396.0	579.0	861.0	450.0	200.0	664.0	730.0	501.0	689.0	491.0
ENSG00000150991	UBC	616.0	615.0	1139.0	609.0	532.0	310.0	804.0	679.0	810.0	983.0	283.0	355.0	352.0	691.0	532.0	569.0	110.0	493.0	509.0	545.0	343.0	300.0	463.0	917.0	575.0	383.0	897.0	622.0	564.0	593.0	694.0	543.0
ENSG00000161011	SQSTM1	62.0	102.0	70.0	45.0	50.0	51.0	111.0	63.0	112.0	144.0	51.0	42.0	60.0	92.0	48.0	125.0	19.0	106.0	77.0	40.0	47.0	55.0	50.0	97.0	79.0	55.0	41.0	196.0	46.0	112.0	64.0	49.0
ENSG00000162736	NCSTN	84.0	80.0	68.0	78.0	86.0	137.0	132.0	71.0	152.0	119.0	47.0	71.0	43.0	123.0	89.0	135.0	28.0	241.0	110.0	122.0	59.0	16.0	121.0	137.0	124.0	76.0	118.0	181.0	88.0	112.0	110.0	85.0
ENSG00000170315	UBB	380.0	515.0	581.0	694.0	477.0	438.0	488.0	219.0	314.0	424.0	290.0	574.0	675.0	509.0	438.0	351.0	120.0	605.0	423.0	465.0	289.0	292.0	437.0	577.0	475.0	426.0	873.0	701.0	495.0	410.0	397.0	286.0
ENSG00000175104	TRAF6	12.0	13.0	41.0	17.0	12.0	12.0	21.0	16.0	20.0	20.0	8.0	11.0	6.0	19.0	17.0	23.0	3.0	15.0	13.0	13.0	8.0	2.0	16.0	17.0	24.0	11.0	23.0	35.0	14.0	15.0	15.0	15.0
ENSG00000205155	PSENEN	13.0	15.0	12.0	11.0	12.0	12.0	22.0	19.0	110.0	24.0	10.0	7.0	7.0	25.0	16.0	19.0	5.0	22.0	18.0	22.0	14.0	3.0	13.0	21.0	20.0	12.0	53.0	31.0	26.0	23.0	19.0	18.0
ENSG00000221983	UBA52	200.0	173.0	425.0	163.0	221.0	138.0	266.0	159.0	313.0	186.0	82.0	142.0	126.0	216.0	418.0	530.0	85.0	283.0	187.0	193.0	160.0	112.0	160.0	236.0	416.0	162.0	188.0	227.0	453.0	207.0	320.0	198.0
