	A-674563	Afatinib (BIBW-2992)	Alisertib (MLN8237)	Axitinib (AG-013736)	AZD1480	Barasertib (AZD1152-HQPA)	BEZ235	BMS-345541	Bortezomib (Velcade)	Bosutinib (SKI-606)	Canertinib (CI-1033)	Cediranib (AZD2171)	CHIR-99021	CI-1040 (PD184352)	Crenolanib	Crizotinib (PF-2341066)	CYT387	Dasatinib	Doramapimod (BIRB 796)	Dovitinib (CHIR-258)	Erlotinib	Flavopiridol	Foretinib (XL880)	GDC-0879	Gefitinib	GSK-1838705A	GSK-1904529A	GSK690693	Idelalisib	Imatinib	INK-128	JAK Inhibitor I	JNJ-38877605	JNJ-7706621	KI20227	KU-55933	KW-2449	Lapatinib	Linifanib (ABT-869)	LY-333531	Masitinib (AB-1010)	Midostaurin	MLN120B	MLN8054	Motesanib (AMG-706)	Neratinib (HKI-272)	Nilotinib	NVP-TAE684	Pazopanib (GW786034)	PD173955	Pelitinib (EKB-569)	PHA-665752	PI-103	Ponatinib (AP24534)	PP242	PRT062607	Quizartinib (AC220)	RAF265 (CHIR-265)	Rapamycin	Regorafenib (BAY 73-4506)	Roscovitine (CYC-202)	Ruxolitinib (INCB018424)	SB-431542	Selumetinib (AZD6244)	SGX-523	SNS-032 (BMS-387032)	Sorafenib	STO609	Sunitinib	TG100-115	Tofacitinib (CP-690550)	Tozasertib (VX-680)	Trametinib (GSK1120212)	Vandetanib (ZD6474)	Vargetef	Vatalanib (PTK787)	Vismodegib (GDC-0449)	VX-745	YM-155
DNMT3A	0.06517308384481564	0.14289644765176182	-0.05312972120433575	0.07673200683230934	0.06517808659177833	-0.03453766063985184	-0.053109252578369286	0.07383945960651256	0.10322005449118572	0.07014938695289678	-0.011149050603701497	0.08968909101284117	-0.05237157809350978	0.05779180493203021	-0.13231446446672981	-0.0988810352139169	0.11278686513108228	0.018444370415680016	0.040380567884479066	0.028154717151447788	-0.04565918855807652	-0.019548943141938505	-0.04126646657593986	0.1549930670481446	-0.08923106875655784	0.07815638958942582	0.01674848755041779	0.06439359915295415	0.02249625810454742	-0.05468258796550893	-0.06064732752587479	0.08298308210999542	0.013835406825469198	0.11543009553560236	0.05349472917859406	-0.043053474245354446	-0.07035529964646285	-0.0037623555281146564	-0.038931270651665344	-0.03672736944578198	0.14209527892077814	0.0001335787127337438	0.1596036124761653	0.06430154582665883	0.02123111888555622	0.15112697444697615	0.003509514046241434	0.04878041490220632	-0.027810298288895627	-0.060242038295195165	-0.03749276364384631	-0.016301228341354904	0.017210184544560827	-0.07992573033919573	0.060029838079422394	0.038157158794982375	-0.14801450907151303	0.042156835409875915	0.03270521808744017	0.04072256362614136	0.06332135854186742	0.025450036277206663	0.0956596263426332	0.08772110566204608	-0.06099363101261525	-0.11349536176614318	-0.07396916048435988	-0.01748626253088173	-0.12257161564892043	-0.05016051398388634	0.1426506599123398	0.05212665388207632	0.03060871509089087	-0.010658648099159899	-0.01077735889425888	-0.02112198506484972	-0.12197753502672028	0.16592968001936273	-0.04976850715823704
IDH1	0.018484160677117695	0.04775022270835469	0.12391326177436052	0.10622947622767233	0.10704949646423927	0.08715509350739382	-0.034741071074619774	0.05861257861455954	0.11271358872543334	0.042040103540296074	0.05489725753278545	0.08600448161671374	-0.06659011373414102	0.10901737188460513	0.011189172329840883	-0.06621996883852549	-0.032014359159877215	0.044586884019077115	0.05225098888983446	0.012821918145068225	-0.05696495422559943	0.06940847328443624	0.05756385228957096	0.05618055298459678	-0.0990270759181784	-0.050286676231634436	0.018567730550905437	0.05364637724137876	-0.038937221611885856	0.04832218866096363	0.11409455933199435	-0.01665633132994138	-0.042730552517015304	0.07745433904354766	0.09157918742685857	-0.15287776050408095	0.06640745073862937	-0.050893540530657255	0.061988848315479544	0.0316577825819467	-0.02408093317777839	0.10086488144169072	0.061192649251253145	0.058910161057454155	0.026968296868931027	-0.061131534346397606	-0.08101725914073384	-0.0024105459497701597	-0.0018339383470081243	-0.058777631696024804	-0.049829998172380076	-0.08290649155668386	0.00687457635574685	-0.045431940540615896	0.017017216215935115	0.0769302533335986	0.05620891145580307	-0.02610721756905161	0.08983608445338315	0.04587425558605303	0.0754869250579202	-0.09574457213899866	0.052323389812376	0.1335155834069982	0.0482216846634965	0.05573881914582999	0.04466642664402931	-0.07632054499401705	0.019479681489604928	0.06350659484877597	0.12058627078586472	0.06396273391276085	0.09056736724647742	-0.041971676028962096	0.008903497208148467	-0.05375454245160339	-0.15436987101679236	0.08724170767540476	0.01628638323910746
NPM1	-0.1821470899967631	-0.09549961153647624	-0.19369060789632234	-0.11428716425909902	-0.05692798644841165	-0.255886272473045	-0.05526294368220642	-0.08820406058516919	0.2140903873079498	0.009170271044295044	-0.08030773276916232	0.20854983229927065	0.00464641256331926	0.060974099853869444	-0.07077157201738328	-0.09908256959440309	-0.13890355763671658	-0.15426320565186877	-0.07847296655528581	-0.23834183502389175	-0.24991208949357482	0.05809548137653995	-0.30006940336837834	0.09685338017921559	-0.2175888692522724	-0.01855565808688096	-0.12530267930506378	0.08193312838023264	-0.08395091986251159	-0.026848921485223158	-0.0953498743169497	-0.08960766051715184	0.09366051686151426	-0.20817953662488975	0.017030283271857218	-0.05481324563919054	-0.18883021754876875	-0.13403366114729162	-0.12073969171224593	-0.12747660202319325	0.01573217703389168	0.0039351891119906056	-0.02254126710592917	-0.12730743536637823	0.09166685266927203	-0.07148457259930988	0.1368710478034159	-0.05647115422989228	-0.16524329442409894	-0.15205129722549474	-0.22587932841827008	-0.07203171001943015	-0.04183396840497257	-0.35541776542567544	-0.07477709232358533	-0.0728195316314023	-0.3409546157155668	-0.06972626264380742	0.033994893593017904	-0.22252803862951853	-0.123527842175751	-0.08172364866645793	-0.07810125104957376	0.13769275526201155	-0.038542813980437095	-0.19809038308665433	-0.3132723787529889	0.054068853816631096	-0.2897583478156003	-0.023545729643633544	0.07718397974125274	-0.05486242926707279	0.137750901384077	-0.19110885010176376	-0.13409306672353125	-0.10183587506914683	-0.018667039335146435	-0.07863394707115191	0.0678866786994316
IDH2	-0.06755486300919479	0.0	0.0006563350252122128	0.0676977796331156	0.06440823201362128	0.11634510317217381	0.03729237858516402	0.0020863696361460874	0.06729732183143279	0.10955612720376906	0.17267324342130652	0.11479670300093046	0.07032869419470932	0.14707142251005234	0.08129910478284376	-0.07011684037857471	-0.04377659107618914	-0.02518716544447622	-0.13544639358457344	0.12376373493745917	0.06239958825684002	-0.02632323038000891	0.06437859775275372	0.07499656038700915	0.11119390243158073	0.011946673127858755	0.05504211706505826	0.0716215785034655	-0.03720080399043141	0.017721502846866344	0.03319621506393545	0.0629154015790692	0.08513713699916058	0.025150118450548483	0.0629069755988616	0.08960087002567874	0.05841943300659959	0.12795872659198942	0.1101241871625384	0.08274088473630103	0.02058732370118855	0.15969422033939917	-0.08981025143960668	0.07863608857260114	0.14148355027141335	-0.0329284249593257	0.0737084849227533	0.20162169358329612	0.043193705407597455	-0.06323900429814582	0.021420021002183758	0.0071587006421051	-0.0664133645836069	0.025301512942235017	0.05071898579146561	0.2244273610735268	0.10293443165855697	-0.05884268504365791	0.008044771631067971	0.061845217215377946	0.03471498347065308	0.001142872967815858	-0.02106285589512908	0.10119436856019481	-0.04782191338416106	-0.048626003820364576	0.14972962222443942	0.06585942511171383	0.09949673743380946	0.005551754340374788	0.03719965677375129	0.11529714745181853	0.20783806696894017	0.017871645391187133	-0.009571711531299817	0.09105418135353237	0.0454753667728884	-0.019056172301436747	-0.01646016456056174
RUNX1	-0.12560495651901935	-0.03681484056215474	-0.027825528894321765	0.011126058485068282	-0.06941056820518543	0.04319132749541802	0.11867901042698456	-0.028565911793335546	0.0644770954243294	-0.07880663949358756	0.10329600986636672	-0.09140623413162667	-0.14505498383648316	0.0	-0.022378344659681765	0.04381172294238914	-0.06366989412764751	0.07561945511443174	-0.1377339378584534	0.038120763121676116	-0.16863411795304636	0.08820416421166823	0.08748896833202648	0.03948988737003719	0.041256135276507316	-0.10430998924829273	-0.0917264586274957	0.03770588493973271	-0.19217236396791837	0.07577067002079144	0.05622342471702112	-0.021129827570105505	-0.1300054590222418	0.09326436142560036	-0.004077715791689293	-0.12230709236401849	-0.10997417888384024	0.05143148044059915	0.11919633675014701	0.04776662391425002	-0.009338555467102374	-0.08542860367281727	-0.12342404076682441	0.029195559341926317	0.07449224934088963	-0.11065926189342472	0.09953876925721804	-0.043494077528076075	-0.04633307254709234	0.136815543352744	-0.04614374295812318	0.07642364920909596	0.09450642562426799	-0.0026590749367452157	-0.05674591903705448	-0.009734528189356863	0.13932131126092603	-0.146803016919067	0.09662810984487531	0.038410309630372286	0.05306425045864448	0.048849271499489116	0.036781223499550826	0.09384947407571352	0.033894308972210165	0.11808719967267313	0.08097274669229633	0.03468178364626812	0.10833736930014316	0.044634606375256555	-0.05858503519671797	-0.11168423100796959	0.08262611172518022	-0.05488410443926016	-0.11093164041834314	-0.06275639275466781	0.0239474734098687	-0.07749281821184568	0.10875855723419978
NRAS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CEBPA	0.06745388183176808	-0.017359263765831946	0.12246926641295329	0.1413105830823477	-0.05111545371753724	0.08354083145448722	0.20615473312861055	0.04530010446769219	-0.01001302730197888	-0.07194514032499894	0.020466095769739574	0.0718700323231476	0.08483361984114647	0.05997031029677829	0.11364568007585842	0.11940610972151035	0.06839541574288326	0.15084829212772205	0.02944622976413805	0.09345122482242414	0.13015283915944892	0.19348321188882434	0.24298921512776792	0.016284477057102772	0.12688256309762316	-0.08494202781913476	0.07895436886840872	0.086407972234353	0.1536409970208854	0.11851784235396322	0.20580536141059508	0.04161654521125771	-0.028756567054130287	0.17727657779522102	0.10117373206195132	-0.026422699700009024	0.14194039688898194	-0.12168589851422044	0.17463797731651873	0.013921537420381679	0.0032095977982155247	0.17945659474148423	0.02116211807979772	0.02888746750008677	-0.007619785073485512	0.019189888382959215	0.13775052253067	0.010865406695910624	0.07625600914669609	0.13210683774104512	-0.06267285537196328	0.0027702879121262345	0.2282201273995519	0.18867699651209544	0.19579668281760965	0.07182864885647222	0.2212172869959434	-0.0045868359359966405	0.12203219460539762	0.11158586889558154	0.12153218030782162	0.034401220842332624	0.0	0.10915605787265183	0.07766161824668698	0.20649841681033276	0.08882723655923637	0.07944258736576816	0.15444143463441928	0.10230154952634142	0.08222218099712744	0.151943183948653	0.027215170311790413	0.15463024198468417	0.10117962089483382	0.03345888153245925	0.05485442351975499	0.1057374779629818	0.12097587127150705
FLT3	-0.2679175604432685	-0.11335871182405817	-0.2889483985705921	-0.21175347127137342	-0.19811670028894285	-0.4604361275102229	-0.05888261589083857	-0.17313446386456288	0.03786000801164871	-0.21238510034492056	-0.192257258203418	0.11695584871084642	0.06597238505725285	0.04649667293707807	-0.2718688876005653	-0.10512329337544105	-0.2181029555423581	-0.0839212567571562	-0.06677869935797193	-0.462896058572528	-0.4041318897958615	0.10724467596986803	-0.46095741402208606	0.07584146877219002	-0.3802671479315409	-0.005974403429501007	-0.12670857804151192	0.02132427244745042	-0.07200529731197217	-0.015053768201766078	-0.14572616338006278	-0.1651957198527752	-0.052657601109069065	-0.3094940031736808	-0.08883595117608815	-0.06667197614992199	-0.3582455319929623	-0.2693266184614388	-0.26642768829736574	-0.3799067854561006	0.018386412164546673	-0.18147017443496624	0.034988670886419986	-0.08833325097495393	-0.10037176659206531	-0.17257308041132643	0.10475227965959653	-0.24657021184055797	-0.3811074899371477	-0.21641274362316176	-0.285479662758991	-0.20972772462878178	-0.10192268067797383	-0.36021438558428065	-0.11370910060618603	-0.1885919735471298	-0.48717196160913656	-0.18711823936843194	0.07057036077513029	-0.37322317879295697	-0.2570617719752466	-0.0678200567555864	-0.06921888711868354	0.1168865358151527	-0.0954020434864339	-0.11688918099566532	-0.5921172717078653	-0.010733016901648181	-0.4208379968542376	0.007799041833188511	0.0946756844756072	-0.25191582646462896	0.019152468354185652	-0.3309865547892998	-0.2896960607935751	-0.18905170711733318	0.06582651807549982	-0.10204954278745669	0.021659014549830127
TP53	0.08982895033801838	0.008223979737224591	0.05119413196655259	0.02606205600899286	0.03660358540664816	0.048279260500017705	-0.03451412590058814	-0.04300899900561251	-0.1206608369400579	0.09441422344389855	0.05978317918101474	-0.0039046497619364094	0.07032869419470932	0.09085745657287678	0.126887387838644	-0.0035652630700970197	0.0008933998178814109	0.0791596628254967	0.08282023627314809	0.0917043035417236	0.06717053006706111	-0.14806817088755012	0.0849815677326302	-0.09749552850311188	0.05538229117248616	0.08125382782350168	0.11615505586523323	-0.019326457691411322	0.10745287440329711	0.018430362960740996	0.01734577003340771	-0.023554534581326402	-0.06859620752503794	-0.028366994066316317	0.10143953894380013	0.08960087002567874	0.12149999098712999	0.059379539791053926	0.023489092552674395	0.13456435702665326	-0.002217096398589536	0.073407827091498	0.001522207651518757	-0.0015318718553104117	0.020211935753059053	-0.024186365235610914	-0.06470337590504137	0.13421018509040078	0.06262805322351679	-0.003265864071735229	0.03529778108810563	0.08978203721973481	0.0206813547606846	0.09570931282384643	0.013003688068703806	0.042538519419165206	0.1318956446336764	-0.03771966989978071	0.07939839827184476	0.15808240888223435	0.014394017536612248	-0.0034286189034475737	0.06983999586279642	0.08599527054572359	0.059418287151482944	-0.048626003820364576	0.18828275848582202	0.060790045535578575	0.15604904393814512	-0.011412628379575728	-0.05951945083800207	0.012741733276346524	0.12187845286066358	0.13552664421650243	0.05835656385211825	0.10773586343356882	0.04197500376266319	0.05716851690431025	-0.02639837712542921
TET2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
